GUILD_VILLAGE_01	Miryang
MAP_SUNGZI_DESERT_HILL_03	İmparatorluk Savaşı - Çöl Diyarı
MAP_SUNGZI_FLAME_HILL_01	İmparatorluk Savaşı - Ateş Diyarı
MAP_SUNGZI_FLAME_HILL_02	İmparatorluk Savaşı - Ateş Diyarı
MAP_SUNGZI_FLAME_HILL_03	İmparatorluk Savaşı - Ateş Diyarı
MAP_SUNGZI_SNOW	İmparatorluk Savaşı - Buz Dağı
MAP_SUNGZI_SNOW_PASS01	İmparatorluk Savaşı - Buz Dağı
MAP_SUNGZI_SNOW_PASS02	İmparatorluk Savaşı - Buz Dağı
MAP_SUNGZI_SNOW_PASS03	İmparatorluk Savaşı - Buz Dağı
MAP_T1	Lonca Savaşı Bölgesi
MAP_T2	Lonca Savaşı Bölgesi
MAP_T3	Lonca Savaşı Bölgesi
MAP_T4	Lonca Savaşı Bölgesi
MAP_TEMPLE	Hwang Tapınağı
MAP_THUNDER	Yıldırım Dağları
MAP_TREE	Lungsam
MAP_TRENT	Hayalet Ormanı
MAP_TRENT02	Kırmızı Orman
MAP_TRENT02_A	Kızıl Orman
MAP_TRENT_A	
MAP_WEDDING_01	Düğün Köyü
MAP_WL	Yılan Vadisi
MAP_WL_01	Yılan Vadisi
