METIN_TEST	GM TEST
MAP_SUNGZI_FLAME_HILL_03	Reichsschlacht-Feuerland
MAP_SUNGZI_SNOW	Reichsschlacht-Eisland
MAP_SUNGZI_SNOW_PASS01	Reichsschlacht-Eisland
MAP_SUNGZI_SNOW_PASS02	Reichsschlacht-Eisland
MAP_SUNGZI_SNOW_PASS03	Reichsschlacht-Eisland
MAP_T1	Gildenkrieg-Gelände
MAP_T2	Gildenkrieg-Gelände
MAP_T3	Gildenkrieg-Gelände
MAP_T4	Gildenkrieg-Gelände
MAP_TEMPLE	Hwang-Tempel
MAP_THUNDER	Donnerberge
MAP_TREE	Lungsam
MAP_TRENT	Geisterwald
MAP_TRENT02	Roter Wald
MAP_TRENT02_A	Roter Wald
MAP_TRENT_A	None9
MAP_WEDDING_01	Hochzeitsmap
MAP_WL	Schlangenfeld
MAP_WL_01	Schlangenfeld
